Artist,Year,Title,Date,Medium,Acquisition Date,Department,Classification,Nationality,Gender,Birth Year,Death Year
Oliver Croy,1996,Untitled from the Museum in Progress project Return,1995,"Lithograph, offset printed",2006-06-01,Prints & Illustrated Books,Print,Austrian,Male,1970,
Lucia Dellefant,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Bob Bingham,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Robert Blanchon,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Eric Boman,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Angela Bulloch,1996,Horizontal Technicolour: Stills with Negative Space (for Parkett no. 66),2002,Chromogenic color print,2003-11-20,Prints & Illustrated Books,Print,Canadian,Female,1966,
Clegg and Guttmann,1996,Untitled from the Museum in Progress project The Message as Medium,1990,"Lithograph, offset printed",2006-06-01,Prints & Illustrated Books,Print,Irish,Male,1957,
Heather Allen,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Cai Guo-Qiang,1996,Borrowing Your Enemy's Arrows,1998,"Wood boat, canvas sail, arrows, metal, rope, Chinese flag, and electric fan",1999-10-12,Painting & Sculpture,Sculpture,Chinese,Male,1957,
Alfredo Ceibal,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ken Chu,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Brian Hand,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Stephen Antonsen,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Knut Åsdam,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Jan Baracz,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
David Barratt,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Martin Beck,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Peggy Ahwesh,1996,Martina's Playhouse,1989,"Regular 8mm film (color, sound)",2000-03-01,Film,Film,American,Female,1954,
Todd Colby,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Maggie Estep,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Rebecca Moore,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
John Zorn,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Lisa Hein,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Bob Seng,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
David Watson,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Michael Bramwell,1997,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Nina Bruderman,1997,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Yoon Ja Choi,1997,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Paul Devautour,1997,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Christoph Draeger,1997,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Franz Ackermann,1998,and she stepped in and couldn't believe what she'd seen - myself as a king-corrupted,2001,Pencil and synthetic polymer paint on paper,2001-10-11,Drawings,Drawing,German,Male,1963,
Candida Alvarez,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ken Aptekar,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Art Club 2000,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Michel Auder,1998,Cleopatra,1969,"16mm film (color, sound)",2002-11-05,Film,Film,French,Male,1945,
Martin von Haselberg,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Marina Abramović,1998,Performance Edition,1994,Twelve framed gelatin silver prints with letterpress text panels,2011-12-13,Media and Performance Art,Photograph,Yugoslav,Female,1946,
Vito Acconci,1998,"Behavior Fields - Transaction Arenas - Training Grounds - Maneuver Positions: Notes on the Development of a Show (Sonnabend, New York; January 15-29, 1972), Notes Toward Performing a Gallery Space",1973,Illustrated book with photolithographic reproductions,1974-04-23,Prints & Illustrated Books,Illustrated Book,American,Male,1940,
John Baldessari,1998,"The Life and Opinions of Tristram Shandy, Gentleman",1988,Illustrated book of three volumes including accordion-folded artist's book with fifty-eight photolithographs,1989-01-18,Prints & Illustrated Books,Illustrated Book,American,Male,1931,
Heike Baranowsky,1998,Gras,2001,"Video (color, silent; 4:30 min.) and plexiglas screen",2004-08-04,Media and Performance Art,Installation,German,Female,1967,
Jacques-Olivier Andre,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ana Axpe,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Gerard Byrne,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Pilar Conde,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Elizabeth Cooper,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Jackie Winsor,1998,Burnt Piece,1977,"Cement, burnt wood, and wire mesh",1991-04-08,Painting & Sculpture,Sculpture,American,Female,1941,
Jack Smith,1998,Head,1958,Gelatin silver print,1960-11-30,Photography,Photograph,American,Male,1932,1989
Lynne Yamamoto,1998,"EYES, DARK",2000,Portfolio of sixteen photogravures,2000-03-02,Prints & Illustrated Books,Print,Nationality unknown,Female,,
Seth Kelly,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Jason Rosenberg,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Sarah Sze,1998,Farsite,1998,Lithograph,1999-03-04,Prints & Illustrated Books,Print,American,Female,1969,
Clara Williams,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
John Coplans,1998,Self-Portrait,1985,Gelatin silver print,1992-01-09,Photography,Photograph,British,Male,1920,2003
Cecily Brown,1998,Footsie,2000,Lithograph,2001-05-24,Prints & Illustrated Books,Print,British,Female,1969,
Stephen Ellis,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Madeleine Hatz,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mary Heilmann,1998,Sunday Morning,1987,Screenprint,1993-11-17,Prints & Illustrated Books,Print,American,Female,1940,
Judith Hudson,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Julie Ault,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Martin Beck,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Tom Burr,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Michael Clegg,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mark Dion,1998,Rescue Archaeology - A Project for the Museum of Modern Art,2004,Colored pencil and pencil on cardstock,2005-02-08,Drawings,Drawing,American,Male,1961,
Min Tanaka,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Suzan Etkin,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Michael Joo,1999,Small Vitrine,2000,Multiple of plastic anatomical model,2000-11-09,Prints & Illustrated Books,Multiple,American,Male,1966,
Matthew McCaslin,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Shane Cullen,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Philip Napier,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Brigitte Kolle,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Kasper König,1998,"My Country 'Tis of Thee: West Germany, 1968 (Four Views) from S.M.S. No. 1",1968,"Four offset lithographs with transparent paper overlays, affixed to a folder",1977-11-10,Prints & Illustrated Books,Print,German,Male,1940,
Steven Brower,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Jenny Gage,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Dana Hoey,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Timothy Hutchings,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Lawrence Seward,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Siah Armajani,1998,"FIRST BRIDGE (double page fold-out plate, folios 7 and 8) from BRIDGE BOOK",1991,"Woodcut, printed in color",1992-01-22,Prints & Illustrated Books,Illustrated Book,American,Male,1939,
Per Barclay,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Catherine Chalmers,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Thomas Demand,1998,Room (Zimmer),1996,Chromogenic color print,1996-12-10,Photography,Photograph,German,Male,1964,
Rachel Harrison,1998,Twenty Dollars,1996,Chromogenic color print,1997-10-09,Photography,Photograph,American,Female,1966,
Xinping Wang,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mandy Ming-Yin Yim,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Y-Space,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Meg Webster,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Jacques Beckwith,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
James Lee Byars,1998,Untitled Object,1962,"Crayon on Japanese paper, joined and folded",1965-02-09,Drawings,Drawing,American,Male,1932,1997
Denise Corley,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Burgoyne Diller,1998,Study for First Theme,1963,Crayon and pencil on paper,1979-05-07,Drawings,Drawing,American,Male,1906,1965
Mark di Suvero,1998,Untitled (plate 6) from Artists and Writers Protest Against the War in Vietnam,1967,Lithograph from a portfolio of 9 screenprints (1 with die-cut and 1 with punched holes); 6 lithographs (1 with embossing); and 1 soft ground etching,1967-10-18,Prints & Illustrated Books,Illustrated Book,American,Male,1933,
Alex Katz,1998,The Paris Review,1965,Silkscreen,1967-10-18,Architecture & Design,Design,American,Male,1927,
Monica Bonvicini,1998,Marlboro (2),1995,Cut-and-pasted printed paper on paper,2005-05-10,Drawings,Drawing,Italian,Female,1965,
Keith Edmier,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Olafur Eliasson,1998,Eye Eye (for Parkett no. 64),2002,"Multiple of iris shutter, mirror, and wood",2003-03-11,Prints & Illustrated Books,Print,Icelandic,Male,1967,
David Galbraith,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Liam Gillick,1998,Literally No Place (for Parkett no. 61),2001,Multiple of Plexiglas and aluminum,2001-11-13,Prints & Illustrated Books,Multiple,British,Male,1964,
Gordon Matta-Clark,1998,Untitled (Energytree),1972,"Crayon, felt-tip pen, and ballpoint pen on paper",1999-05-06,Drawings,Drawing,American,Male,1943,1978
Sigmar Polke,1998,Polke Neue Bilder,1967,Offset Lithograph,1987-11-18,Architecture & Design,Design,German,Male,1941,2010
Olaf Amdt,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Hannelore Baron,1998,Untitled,1977,"Cut-and-pasted monoprints on cut-and-pasted fabrics, colored ink and stamped ink",2000-12-12,Drawings,Drawing,American,Female,1926,1987
Karsten Bott,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
David Bunn,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Jean-Michel Othoniel,1998,The Forbidden (L'interdit),1991,Sulfur print with oil additions,1999-03-04,Prints & Illustrated Books,Print,French,Male,1964,
John Miller,1998,Poplar,1975,Gelatin silver print,1976-02-24,Photography,Photograph,American,Male,1948,
Ghada Amer,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Stefano Arienti,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Fabiana de Barros,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
"Joe Ben, Jr.",1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
David Levinthal,1999,"Untitled. From the series ""Desire""",1990,Color instant print (Polaroid),1994-01-13,Photography,Photograph,American,Male,1949,
Cai Guo-Qiang,1999,Borrowing Your Enemy's Arrows,1998,"Wood boat, canvas sail, arrows, metal, rope, Chinese flag, and electric fan",1999-10-12,Painting & Sculpture,Sculpture,Chinese,Male,1957,
Cao Yong,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Chen Hui-chiao,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Chen Shun-Chu,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Chu Chiahua,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
2dk: David d'Heilly & Kayoko Ota,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Nobuyoshi Araki,1999,Untitled from the Museum in Progress project Travelling Eye,1996,Offset lithograph,1996-11-12,Prints & Illustrated Books,Print,Japanese,Male,1940,
Duangrit Bunnag,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Yung Chang,1999,Up the Yangtze,2007,35mm film,2015-10-07,Film,Film,Canadian,Male,1977,
Yoshie Ueki,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mario Merz,1999,Berliner Tasse,1974,"Spray paint, ink, pencil and fat on paper",1996-05-16,Drawings,Drawing,Italian,Male,1925,2003
Jennifer Allora,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Celeste Boursier-Mougenot,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Guillermo Calzadilla,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Shane Cullen,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Xiomara De Oliver,1999,Lois and Cleo,2002,"Oil, crayon, and pencil on two pieces of paper",2005-05-10,Drawings,Drawing,Canadian,Female,1967,
Valie Export,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Joan Jonas,1999,Hurricane Series,1979,Portfolio of five aquatints,1987-05-14,Prints & Illustrated Books,Print,American,Female,1936,
Bruce Nauman,1999,"Study related to the sculpture ""Storage Capsule for the Right Rear Quarter of My Body""",1966,Watercolor and pencil on paper,1985-03-08,Drawings,Drawing,American,Male,1941,
Gabriel Orozco,1999,XRTC 4,1996,Rubbed graphite on paper,1999-05-06,Drawings,Drawing,Mexican,Male,1962,
Actress,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
FAT magazine,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Sincerely Yours Escorts,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Standard and Poor,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
The Stand,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Richard Hennessy,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Jane Kaplowitz,1999,Brooks Adams,1997,"Synthetic polymer paint and pencil on paper
",2005-05-10,Drawings,Drawing,American,Female,1949,
Rob Wynne,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Cecile Abish,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Larry Bell,1999,Untitled,1975,Photolithographic reproductions of photographs,1982-01-21,Prints & Illustrated Books,Illustrated Book,American,Male,1939,
Dan Flavin,1999,Untitled,1973,Crayon and ink on graph paper on paper,1999-10-21,Drawings,Drawing,American,Male,1933,1996
Robert Grosvenor,1999,Project for Existing Building with at Least One Glass Wall,1967,"Plastic tape, colored pencil, pencil, and ink on paper",1967-06-06,Drawings,Drawing,American,Male,1937,
Stephen Antonakos,1999,Plate (folio 1) from BOOK,1985,"Purple red, smooth, wove paper",1986-01-09,Prints & Illustrated Books,Illustrated Book,American,Male,1926,2013
Philip Glass,1999,Music with Changing Parts,1971,Two 12-inch vinyl records,2013-10-10,Prints & Illustrated Books,Audio,American,Unknown,1937,
Dan Graham,1999,"Baroque Bedroom, Model Home, Staten Island, N.Y.; Motel, San Francisco",1982,Two chromogenic color prints,1996-06-13,Photography,Photograph,American,Male,1942,
Beat Huber,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ronald Bladen,1999,Untitled (Abstract Drawing),1984,Graphite on paper,1998-02-05,Drawings,Drawing,American,Male,1918,1988
Harvey Quaytman,1999,Study for Wanderer,1988,Acrylic and rust on paper mounted on aluminum,1990-10-25,Drawings,Drawing,American,Male,1937,2002
Gino De Dominicis,1999,No!,1981,"Oil stick and pastel on paper mounted on aluminum panels, in two parts",1982-10-12,Painting & Sculpture,Painting,Italian,Male,1947,1998
Richard Butler,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Deborah Ostrow,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Brian Austin,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Sung Baik,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Fiona Banner,1999,The Nam,1997,Artist's book,1999-05-20,Prints & Illustrated Books,Illustrated Book,British,Female,1966,
Denise Green,1999,House,1976,Ink on paper,2003-02-13,Drawings,Drawing,Australian,Female,1946,
Aidas Bareikis,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
John Bock,1999,Untitled,1998,"Multiple of cardboard box with gold marker and tape additions, containing two artists' books with cut-and-pasted paper, pencil, ink, and gold marker additions",2001-05-24,Prints & Illustrated Books,Multiple,German,Male,1965,
Brett Cook-Dizney,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Lionel Esteve,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Anna Gaskell,1999,Anagram,2003,"Ink on paper
",2005-05-10,Drawings,Drawing,American,Female,1969,
Anna Gabriel,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Low-Flame,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Adria Petty,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Howie Statland,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Bruna Esposito,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Kristin Lovejoy,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Teresa Recarens,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Yoshiko Shimada,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Yan-kei So,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Cecily Brennan,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Anne Carlisle,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
John Carson,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Liadin Cooke,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Maud Cotter,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Marina Abramović,1999,Performance Edition,1994,Twelve framed gelatin silver prints with letterpress text panels,2011-12-13,Media and Performance Art,Photograph,Yugoslav,Female,1946,
Colin Beatty,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
José Bedia,1999,Dobles,1994,"Lithograph, printed on chine collé",1995-01-24,Prints & Illustrated Books,Print,Cuban,Male,1959,
Hubert Duprat,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Thomas Grunfeld,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Anna Oppermann,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
David Reed,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Franky Kong,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
John Tweddle,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Philippe Starck,1999,Vicieuse Coffee Table,1992,Polished die-cast aluminum and maple plywood with malamine formaldehyde laminate,2000-01-19,Architecture & Design,Design,French,Male,1949,
Robert Ressler,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Claude Lévêque,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Martin Arnold,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Alan Berliner,1999,Nobody's Business,1996,"16mm film (color, sound)",2002-04-16,Film,Film,American,Male,1956,
David Chartier,1999,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Bruce Conner,1999,Frontispiece (folio 3) from The Adventures of a Novel in Four Chapters,1991,One from an illustrated book with fourteen line blocks and one ink drawing,1992-11-04,Prints & Illustrated Books,Illustrated Book,American,Male,1933,2008
Bruce La Bruce,1999,No Skin Off My Ass,1991,35mm film,2015-05-11,Film,Film,Canadian,Male,1964,
Konrad Lueg,1999,Self Portrait (Selbstbildnis) from Graphics of Capitalist Realism (Grafik des Kapitalistischen Realismus),1971,Screenprint,1973-01-04,Prints & Illustrated Books,Illustrated Book,German,Male,1939,1996
Dennis Adams,1999,Patricia Hearst: A Thru Z,1990,Portfolio of twenty-six screenprints,1990-05-02,Prints & Illustrated Books,Print,American,Male,1948,
Matthew Barney,1999,Drawing Restraint 7,1995,Artist's book with plastic clip,1997-03-06,Prints & Illustrated Books,Illustrated Book,American,Male,1967,
